,target,clean_text_hard,clean_text_light,tweet_len,urls,hashtags,emojis,mentions
0,1,true reviewer interested defending obama reset aging ukraine syria deals skxtw lwck,"True, reviewer was interested in defending Obama. But the Reset is not aging well, nor will Ukraine or Syria deals.",115,['https://t.co/Skxtw7LwCK'],[],[],[]
1,1,years expansion nato georgia ukraine brought military forces doorsteps rsn dhpi,"The last 25 years expansion of NATO(into Georgia, Ukraine, etc) has brought U.S. military forces to the doorsteps.",114,['https://t.co/rsN2DHPI9n'],[],[],[]
2,1,new followers russia ukraine week cgo abb zz zislc qa,"I have 312 new followers from Russia, Ukraine, and more last week. See",70,"['http://t.co/cgo7Abb5zz', 'http://t.co/ZisLc2P1Qa']",[],[],[]
3,1,abi ukraine going hillary election interference gtavqbywv abiss mnfta ukza,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/7gTAvqbYwV', 'https://t.co/mNFTa0UKZA']","['#abi', '#ABISS']",[],[]
4,1,breaking answers demanded collusion dnc clinton campaign ukraine wm qrfa jdduexjxvk,"BREAKING : Answers Demanded on Collusion between DNC, Clinton Campaign and Ukraine",82,"['https://t.co/T1wM17QRfa', 'https://t.co/jDDuEXJXVK']",[],[],[]
5,1,trump says putin going ukraine despite putin going crimea ldlgxqxy fqoffgzld,"Trump says Putin is ""not going to go into Ukraine,"" despite Putin already going into Crimea",91,"['https://t.co/13ldLgXQxY', 'https://t.co/6fQOfFGZLD']",[],[],[]
6,1,south ukraine citizens form self defense units order defend marauding bandits patriotic insignia,"In South of Ukraine, citizens form self-defense units in order to defend themselves against marauding ""bandits with patriotic insignia"".",136,[],[],[],[]
7,1,acapa ukraine going hillary election interference kaqeuch ltrmj gvz,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/3kaQeUcH1W', 'https://t.co/LTRmJ2gVZ0']",['#acapa'],[],[]
8,1,israeli jews khazars ukraine converted judaism ad true israeli jews fled africa lwi edn,Most Israeli Jews are Khazars (Ukraine) who converted to Judaism in 740 AD; TRUE Israeli Jews fled to W Africa,110,['https://t.co/lWi1ME8edn'],[],[],[]
9,1,wow gordon helped weaken gop platform ukraine fcdp zzc,wow. Gordon was the one who helped weaken the @GOP platform on Ukraine.,71,['https://t.co/FCDp6r1ZzC'],[],[],['@GOP']
10,1,new followers russia ukraine belarus week cgo abb zz sic tbeezw,"I have 303 new followers from Russia, Ukraine, Belarus, and more last week. See",79,"['https://t.co/cgo7Abb5zz', 'https://t.co/SiC0tbeeZw']",[],[],[]
11,1,hemophilia ukraine diagnosis death sentence cystic fibrosis qhurs ia mzce,"""Hemophilia in Ukraine: Not a Diagnosis but a Death Sentence."" Cystic fibrosis, too.",84,"['https://t.co/QHURs3r7IA', 'https://t.co/Mzce2K0w4Z']",[],[],[]
12,1,adsnn ukraine going hillary election interference iy ehxf lt adns le cq vqa,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/Iy1EhXF4lt', 'https://t.co/LE6CQ05VqA']","['#adsnn', '#adns']",[],[]
13,1,ade ukraine going hillary election interference bzyjg cain aded wx ivyrv,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/BzyjG2CAiN', 'https://t.co/7wX0IVYRv6']","['#ade', '#aded']",[],[]
14,1,sick foreign policy government committed coup etat ukraine slaveryofspeech,I'm sick of our foreign policy! Our government committed coup d'etat in Ukraine!,80,[],['#SlaveryOfSpeech'],[],[]
15,1,rt mitchellvii predicted jr story beginning end russiagate story lead hillary ukraine,RT mitchellvii: I predicted the Don Jr story would be the beginning on the end of he Russiagate story because it lead to Hillary in Ukraine,139,[],[],[],[]
16,1,aleex ukraine going hillary election interference kduma gfex alexx nahgivcn,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/KDUMa6GfeX', 'https://t.co/NAHGivcN2r']","['#aleex', '#alexx']",[],[]
17,1,bho blocks white women ukraine brings thousands military age muslim men africa asia,While BHO blocks white women from Ukraine. He brings 100s of thousands of military age Muslim men from Africa and Asia.,119,[],[],[],[]
18,1,new documents suggest trump campaign chairman paul manafort laundered nearly pro russia party ukraine fb jch grv,"New documents suggest Trump campaign chairman, Paul Manafort, laundered nearly $1m from pro-Russia party in Ukraine.",116,['https://t.co/Fb6jcH4gRv'],[],[],[]
19,1,goncharenko odessa deputy ukraine accomplice right sector massacre pace hell uvyndcqzzb,Accomplice Right Sector  02.05.2014 in  More hell,49,['https://t.co/uvYNdCqzzB'],"['#Goncharenko', '#Odessa', '#Deputy', '#Ukraine', '#Massacre', '#PACE']",[],[]
20,1,open letter mincanadafa propaganda hyped foreign policy war inevitable cdnpoli ukraine jl,"Open letter to @MinCanadaFA : When propaganda is hyped as foreign policy, war becomes inevitable",96,['https://t.co/4jl8x3345b'],"['#cdnpoli', '#Ukraine']",[],['@MinCanadaFA']
21,1,catching usg russian hacker app evidence actually proudly ukraine atdhr qq,Just catching up: USG Russian hacker app evidence actually made proudly in Ukraine.,83,['https://t.co/AtDhR650QQ'],[],[],[]
22,1,soon returning pervomaysk conduct mass lbs humanitarian aid distribution donate ib ztyzma ukraine kocml,"Soon returning to Pervomaysk & to conduct a mass 2,000kg/4400lbs humanitarian aid distribution. Donate via",106,"['https://t.co/2iB8ztyZMA', 'https://t.co/KoCml04Y5z']",['#Ukraine'],[],[]
23,1,italian mp stresses ukraine pay losses anti russian sanctions cwyflh,Italian MP stresses Ukraine should pay for losses due to anti-Russian sanctions,79,['https://t.co/A7cWYFLH91'],[],[],[]
24,1,time running share support donate today help goal continue reporting ukraine war yawyaoogm,"TIME RUNNING OUT SHARE & SUPPORT Donate today, help me make my goal so I can continue reporting on the  War",107,['https://t.co/yaWYaOogM9'],['#Ukraine'],[],[]
